a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight,Activity_value
7,6,13,0.82488954,1.8559999,-2.2959299,2,405.495,0.003981
5,4,9,0.91182971,2.2249999,-4.1595898,3,443.52499,0.003981
4,3,9,0.84722781,1.633,-3.2794299,2,364.466,0.004
7,6,13,0.84194446,2.552,-3.46157,2,463.53098,0.004
6,5,8,0.85613614,2.6849999,-4.44098,3,414.48199,0.004
3,3,2,0.82603145,3.0280001,-4.2645602,2,321.44101,0.004
5,3,11,0.8064574,3.332,-3.69472,3,416.51801,0.004
3,3,2,0.82603145,3.0280001,-4.2645602,2,321.44101,0.004
3,2,8,0.88736606,3.813,-4.9394002,2,385.573,0.0041
4,2,6,0.91896349,4.0359998,-7.8703499,4,468.375,0.00411
3,2,7,0.84493172,4.48,-5.7958798,3,389.54001,0.0042
6,3,12,0.82111263,2.1570001,-4.4491701,3,438.47998,0.0044
5,3,8,0.85305858,1.895,-4.4229202,3,414.48199,0.0044
6,4,11,0.82701081,2.1070001,-3.70842,3,438.47998,0.0047
5,4,9,0.80403203,3.4679999,-4.0430598,3,395.45499,0.004786
4,3,8,0.83018678,2.641,-4.6093402,3,412.50998,0.0048
7,6,13,0.82176769,2.823,-4.2669401,3,481.54898,0.0048
6,5,8,0.82652491,2.2090001,-2.4028001,2,362.42599,0.0048
6,5,8,0.83503067,2.316,-3.18466,2,348.39899,0.005
4,3,6,0.84583718,3.0050001,-4.15166,3,390.504,0.005
4,3,6,0.86170721,3.8239999,-4.5345402,3,394.56,0.005
6,6,5,1.007431,-1.15,0.14673001,1,265.202,0.005012
7,6,11,0.85913956,0.77999997,-2.3754499,2,391.42398,0.005248
9,8,13,0.87456042,0.71799999,-2.5807199,3,504.53998,0.0054
4,3,8,0.84722781,2.78,-4.5829101,2,364.466,0.0054
6,3,11,0.82065994,1.182,-2.8122301,3,423.46899,0.0057
6,5,9,0.81256402,2.9489999,-3.7258601,3,410.47,0.0058
5,3,9,0.84340835,1.85,-3.4975901,2,393.508,0.006
9,8,11,0.92800003,-1.279,-0.75134999,2,414.41498,0.006
6,5,7,0.8443889,1.874,-2.66944,2,334.37198,0.006
4,3,7,0.84722781,2.6960001,-4.5829101,2,364.466,0.0063
5,4,10,0.80220884,3.01,-3.76408,3,424.49698,0.006457
6,5,8,0.87796628,1.473,-2.8188901,2,366.43799,0.0065
7,5,12,0.83766681,2.118,-3.0896699,2,419.478,0.0067
9,7,19,0.89437217,1.82376,-4.5257802,3,642.672,0.007
5,3,6,0.88210309,1.368,-3.60677,3,405.47501,0.007
6,5,10,0.84058529,2.9070001,-4.4464898,3,442.53598,0.007
7,6,9,0.84954685,0.88700002,-1.92191,2,363.414,0.007
7,7,15,0.85444188,1.7130001,-3.86958,2,519.53497,0.007
5,5,8,0.87757474,0.58499998,-1.48031,2,354.34299,0.007079
5,2,7,0.80162716,5.02,-8.5951004,5,481.57599,0.00764
7,6,12,0.82783884,2.381,-4.0651698,3,467.522,0.0077
6,5,9,0.84590477,1.666,-2.3699701,1,314.38199,0.007943
5,3,6,0.85922456,1.548,-3.5209899,3,391.492,0.008
6,5,8,0.81876028,2.651,-2.91802,2,376.453,0.0081
5,3,11,0.79504395,3.5539999,-4.4654002,3,438.52399,0.0083
3,2,8,0.83757758,4.3639998,-5.4223599,2,381.561,0.0084
6,5,7,0.82653117,2.3529999,-3.4546101,3,382.41599,0.008500001
8,7,16,0.88230383,2.905,-4.7866302,3,592.61499,0.0086
5,2,6,0.81201726,4.915,-8.9320297,5,465.53299,0.008841
4,2,4,0.94659501,0.178,-1.34495,1,231.272,0.008913
7,5,8,0.8846727,-0.428,-0.92164999,2,355.39099,0.0094
5,2,6,0.80676204,4.8860002,-8.6510601,5,467.54898,0.00982
6,3,14,0.79570222,4.1589999,-5.8886499,4,528.60498,0.01
5,3,9,0.86612624,1.67,-3.58337,2,407.491,0.01
5,3,11,0.80637032,2.415,-4.0703702,3,422.48099,0.01
6,5,8,0.82652491,2.2290001,-2.52824,2,362.42599,0.01
4,3,6,0.87918264,1.294,-2.71943,2,328.43298,0.01
7,5,9,0.83488429,2.1830001,-3.53578,3,412.44199,0.01
6,5,11,0.85140634,1.262,-3.3962801,3,458.45099,0.01
5,2,5,0.83067352,3.253,-7.1714902,4,403.46201,0.01067
7,5,10,0.83701807,2.0669999,-3.6115999,3,439.46799,0.011
4,2,6,0.80235028,4.2309999,-7.3058,4,403.50598,0.0118
5,3,12,0.83365101,2.793,-5.2984099,3,454.547,0.012
4,3,7,0.83768922,2.8169999,-4.85286,3,398.483,0.012
5,3,6,0.86880881,1.1059999,-3.3192201,3,377.465,0.012
4,3,7,0.83845496,2.658,-4.05193,2,378.49298,0.012
6,5,12,0.84423828,1.704,-3.5980501,3,472.478,0.012
8,7,13,0.86760008,0.052000001,-1.5894001,2,426.51398,0.01202
8,7,18,0.86419588,0.91299999,-2.7714,2,506.556,0.01202
3,2,4,0.864259,1.709,-2.7328401,2,265.33301,0.01259
5,4,9,0.91182971,2.2249999,-4.1595898,3,443.52499,0.01259
4,3,7,0.87482512,2.707,-5.6374602,3,416.522,0.013
5,3,7,0.85305858,2.533,-4.99365,3,414.48199,0.013
6,6,7,0.834405,2.5539999,-3.7445099,4,421.453,0.013
7,6,14,0.83472413,3.1300001,-4.2478399,3,497.54797,0.013
4,3,10,0.81169534,4.5640001,-6.9029899,4,476.59698,0.014
4,3,8,0.86592501,2.7950001,-5.5193801,3,430.54898,0.014
4,3,10,0.83042318,2.8099999,-4.7944298,2,386.47198,0.014
5,2,11,0.80164123,3.6147399,-4.8411002,3,439.508,0.014
5,1,14,0.78997725,3.234,-4.9924598,4,513.59399,0.015
6,4,16,0.81820768,3.7349999,-4.98738,3,525.60199,0.015
3,2,10,0.82233268,4.8940001,-5.6855998,2,409.61499,0.015
4,2,5,0.83574486,5.52,-9.3349705,5,471.96799,0.01511
7,5,13,0.85403949,2.6140001,-4.0650501,4,529.58997,0.01514
8,6,14,0.87260562,0.76800001,-2.31972,2,456.47598,0.01585
5,3,7,0.88609099,0.71499997,-3.05439,2,379.43698,0.016000001
5,3,7,0.86160988,0.89499998,-2.96861,2,365.45398,0.016000001
4,3,8,0.86592501,2.5309999,-5.39394,3,430.54898,0.017000001
7,6,10,0.86872083,0.384,-2.2358,2,377.397,0.017000001
4,3,10,0.81169534,4.6030002,-6.9029899,4,476.59698,0.017999999
5,3,8,0.84512806,2.6210001,-4.8755698,3,428.509,0.017999999
4,3,10,0.87230599,1.7589999,-3.8225999,2,410.55899,0.017999999
3,2,4,0.85126865,1.8430001,-2.6768799,2,279.35999,0.017999999
4,2,5,0.79824942,4.9299998,-8.6006804,5,437.52298,0.01897
6,5,8,0.83503067,1.767,-2.20103,2,348.39899,0.018999999
6,3,8,0.82566494,5.2529998,-6.90762,4,422.91998,0.018999999
3,2,9,0.82963532,4.4520001,-5.48383,2,395.58798,0.018999999
4,3,5,0.93511403,1.6569999,-2.9507401,2,313.39801,0.019950001
3,2,4,0.85126865,1.8430001,-2.6768799,2,279.35999,0.019950001
6,3,11,0.83488429,1.198,-2.9974899,3,416.474,0.02
5,3,6,0.89254552,0.926,-3.405,3,391.448,0.02
3,3,10,0.85356188,3.0669999,-4.58002,1,341.496,0.021
6,6,12,0.79753351,4.3309999,-5.3506598,2,426.513,0.022
4,3,7,0.83768922,3.5280001,-6.0265298,3,404.53101,0.022
4,3,7,0.85684919,1.789,-3.3975101,2,350.439,0.022
4,2,4,0.81534106,3.276,-6.7768202,4,375.452,0.022299999
6,6,11,0.80331445,3.8889999,-4.8354402,2,412.48599,0.023
3,2,4,0.90498012,0.68099999,-1.27749,1,217.289,0.023
8,8,11,0.90281612,0.55000001,-1.1237,1,384.38498,0.023
4,3,5,0.87918264,1.454,-3.3506999,2,322.38501,0.024
5,2,11,0.8074016,3.8347399,-4.58564,3,431.52899,0.024
5,2,6,0.80667865,5.2129998,-9.4059496,5,479.56,0.024219999
7,7,11,0.85848945,2.309,-3.5483699,2,434.42899,0.025
4,3,7,0.83018678,3.2590001,-5.0546298,3,412.50998,0.025
5,5,8,0.87757474,0.58499998,-1.48031,2,354.34299,0.025119999
4,3,10,0.81169534,4.5640001,-6.9029899,4,476.59698,0.027000001
5,4,14,0.78921127,3.562,-5.4533501,3,472.54099,0.028000001
5,3,7,0.86165488,2.0710001,-4.66644,3,400.45499,0.028000001
5,3,14,0.81427288,2.806,-3.6252601,2,432.517,0.028999999
6,6,10,0.87122333,1.845,-2.9681599,2,408.39099,0.028999999
4,3,5,0.86443412,2.2809999,-3.9381101,3,362.44998,0.029999999
4,3,8,0.85684919,1.809,-3.5229499,2,350.439,0.029999999
7,6,8,0.90347254,1.097,-1.69883,2,376.38998,0.029999999
5,3,8,0.85305858,2.1589999,-4.5483599,3,414.48199,0.030999999
4,2,4,0.94659501,0.178,-1.34495,1,231.272,0.03162
6,5,4,0.93510145,-0.15899999,-0.55487001,2,267.237,0.03162
4,3,7,0.83768922,2.5090001,-4.59513,3,398.483,0.033
3,3,9,0.8762098,2.2939999,-3.5908799,1,313.44199,0.034000002
6,6,12,0.82024819,3.0910001,-4.2739801,2,428.48499,0.035
4,3,9,0.82325602,2.7290001,-4.4912601,3,426.53699,0.035999998
4,3,8,0.83018678,2.905,-4.7347798,3,412.50998,0.035999998
5,3,7,0.85305858,2.533,-4.99365,3,414.48199,0.035999998
7,5,14,0.8520571,1.783,-2.72403,2,440.47699,0.036309998
7,6,11,0.82731158,4.4050002,-7.6163201,5,538.55597,0.039000001
7,5,12,0.85818475,2.385,-4.0605502,3,488.47699,0.039810002
6,5,11,0.80637032,3.0369999,-3.7873299,3,424.49698,0.039810002
4,3,6,0.84462237,2.8440001,-5.0367298,4,410.49399,0.039999999
7,6,10,0.86872083,0.384,-2.2358,2,377.397,0.039999999
6,4,11,0.82561499,1.492,-2.6614499,2,391.46799,0.039999999
8,6,11,0.83789337,3.96,-7.2627501,5,566.56598,0.039999999
7,6,9,0.86845887,2.0179999,-2.68577,3,438.461,0.039999999
6,5,8,0.90840477,0.639,-1.6734,2,356.315,0.040739998
4,3,6,0.85471767,2.723,-4.45333,3,376.47699,0.041000001
5,3,12,0.8006267,2.8570001,-4.27214,3,436.508,0.041999999
5,3,12,0.8006267,2.8570001,-4.27214,3,436.508,0.041999999
7,6,15,0.836348,2.865,-4.8715801,3,541.66901,0.041999999
7,7,16,0.84222937,2.8110001,-4.9563198,3,556.68396,0.043000001
3,2,4,0.88847256,-0.537,-0.20677,1,261.41699,0.043000001
7,7,12,0.83593029,3.3010001,-5.1494298,3,496.5,0.044
5,3,11,0.80053711,3.4660001,-4.4039302,3,424.49698,0.044
6,5,7,0.83503067,2.2320001,-3.18466,2,348.39899,0.045000002
5,3,11,0.8006267,2.7850001,-4.27214,3,436.508,0.046
5,3,11,0.8006267,2.711,-4.5442901,3,436.508,0.046
5,3,14,0.79905599,2.5539999,-4.05726,2,416.51801,0.046999998
3,2,3,0.91557628,0.82099998,-1.50266,2,229.3,0.048980001
7,7,12,0.85058743,2.7509999,-4.06359,2,448.45599,0.050000001
8,7,18,0.849356,-0.43099999,-3.5813999,3,572.66296,0.050000001
4,3,8,0.85684919,1.809,-3.5229499,2,350.439,0.05012
8,7,17,0.87563545,3.3469999,-5.3018498,3,606.64197,0.050999999
7,6,9,0.89173383,0.63599998,-1.54184,2,384.36899,0.051290002
6,6,11,0.83437985,2.3900001,-3.7254801,2,402.44699,0.052000001
3,2,3,0.86429691,1.5650001,-2.08566,1,230.328,0.052480001
7,7,12,0.82975245,4.131,-6.5248699,4,532.53296,0.052999999
7,5,7,0.84814477,1.084,-2.12274,3,375.42499,0.056230001
4,3,11,0.80142242,5.3039999,-7.4514899,4,502.63498,0.057
5,4,7,0.87795615,1.244,-2.8930299,2,351.427,0.059999999
7,7,11,0.87830234,0.82300001,-1.4856499,1,368.38599,0.059999999
5,5,13,0.81132436,5.5799999,-7.3738999,3,520.64996,0.061999999
4,3,6,0.84462237,2.8440001,-5.0367298,4,410.49399,0.061999999
4,2,6,0.85151011,3.0050001,-3.86306,3,347.435,0.063100003
4,3,4,0.9508338,-0.57200003,-0.88516003,1,218.27699,0.063100003
3,2,3,0.89595979,1.263,-1.70443,2,243.327,0.064570002
6,6,12,0.80331445,3.869,-5.0234499,2,412.48599,0.064999998
6,4,12,0.81432098,1.848,-4.0734701,3,437.496,0.07
5,3,11,0.80637032,2.415,-4.0703702,3,422.48099,0.07
4,2,2,0.95703042,-0.37400001,-1.1595401,2,258.298,0.07079
6,5,11,0.83311164,2.1730001,-3.38568,3,470.59698,0.071999997
6,5,11,0.85140634,1.781,-3.47878,3,458.45099,0.072439998
7,7,15,0.86333644,1.592,-3.5996301,1,485.51801,0.075999998
3,3,9,0.79195869,5.3270001,-6.83253,3,405.51801,0.079999998
4,1,12,0.79504395,2.6789999,-4.4826999,3,436.508,0.082000002
5,1,17,0.7748661,6.211,-8.0688801,5,618.72998,0.086000003
6,4,9,0.81979507,3.2579999,-4.1015601,3,411.45398,0.086000003
4,3,10,0.87230599,1.7589999,-3.8225999,2,410.55899,0.086999997
