a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight,Activity_value
3,3,10,0.812617,4.8930001,-5.6054602,2,387.5,1
3,3,10,0.812617,4.8559999,-5.6054602,2,387.5,1
4,3,11,0.80606031,4.9879999,-5.6410298,2,401.52701,1
4,3,11,0.86517847,5.3309999,-6.2309899,2,437.50699,1
4,3,12,0.88454849,5.9247599,-6.6975799,2,469.52399,1
3,3,9,0.79576117,5.2059999,-6.2491298,2,371.50101,1
3,3,8,0.82598013,3.2460001,-3.8227501,1,295.40298,1
3,3,9,0.79576117,5.243,-6.2491298,2,371.50101,1
3,3,10,0.812617,4.8540001,-5.6054602,2,387.5,1
4,3,11,0.80606031,5.027,-5.6410298,2,401.52701,1
4,3,11,0.83600223,5.1430001,-5.9360099,2,419.517,1
3,3,8,0.80948764,4.5050001,-5.7006302,2,345.46298,1
3,3,9,0.79576117,5.204,-6.2491298,2,371.50101,1
4,3,11,0.80606031,4.9899998,-5.6410298,2,401.52701,1
4,4,8,0.85591483,2.938,-3.4607999,1,311.40201,1
3,3,8,0.80948764,4.4660001,-5.7006302,2,345.46298,1
4,3,11,0.86517847,5.3309999,-6.2309899,2,437.50699,1
4,3,13,0.95229697,6.97052,-7.7541299,2,537.521,1
44,43,76,0.88044137,-6.237,-20.794479,14,3031.343,1
6,5,10,0.90045166,3.951,-4.6255798,2,428.31598,1
3,3,7,0.82603145,3.3299999,-5.00316,2,315.39301,1
3,3,10,0.78664845,5.7690001,-7.0342999,3,419.54498,1
3,3,8,0.79769272,5.5960002,-7.1775298,3,397.539,1
3,3,8,0.81065297,4.7119999,-6.14709,3,369.48499,1
3,3,10,0.79576117,5.29,-6.5625801,2,371.50101,1
3,3,7,0.80948764,4.5430002,-5.6575799,2,343.44699,1
3,3,9,0.79576117,5.2059999,-6.2491298,2,371.50101,1
3,3,8,0.80231917,4.7639999,-5.7339101,2,357.474,1
3,3,9,0.7840941,6.586,-8.7104101,4,455.578,1
3,3,9,0.78973871,5.605,-7.0777998,2,385.52798,1
3,3,9,0.79195869,6.0380001,-8.0061998,3,411.56598,1
3,3,8,0.79769272,5.2389998,-6.77106,3,391.491,1
3,3,9,0.79576117,5.2059999,-6.5625801,2,371.50101,1
3,3,8,0.80390352,5.1539998,-6.6623101,3,383.51199,1
3,3,8,0.80948764,4.4060001,-5.5321398,2,343.44699,1
3,3,7,0.81735581,3.964,-5.3303699,2,329.41998,1
8,7,12,0.87219095,-0.97100002,-1.85946,3,476.47,1
5,4,8,0.88609308,1.085,-1.43558,2,355.327,1
6,5,11,0.85291517,0.935,-2.0037,2,438.461,1
7,6,12,0.8558445,1.1900001,-2.74037,3,502.504,1
5,5,13,0.8292805,3.474,-4.0507698,2,447.46799,1
5,4,10,0.85546416,2.3269999,-2.98124,2,397.40799,1
8,8,15,0.85561401,0.055,-2.9724901,2,492.513,1
7,6,14,0.85649639,0.032000002,-1.56962,2,467.50299,1
6,5,12,0.84527069,1.377,-2.83237,2,452.48801,1
9,8,16,0.86642587,0.221,-4.1669402,3,559.56,1
9,7,13,0.88146877,-0.80500001,-3.05391,4,543.51697,1
6,5,10,0.8701337,-0.037,-1.60016,2,410.40698,1
5,4,10,0.84570336,2.448,-2.9377401,3,431.42499,1
7,5,13,0.85813403,1.543,-4.0268202,3,519.53497,1
6,6,15,0.82334375,2.5239999,-4.2153502,2,502.548,1
6,5,12,0.83755887,1.498,-3.10232,3,486.505,1
8,7,13,0.89343572,-0.34299999,-1.3524801,2,468.44299,1
39,39,94,0.87587571,-3.329,-19.4142,13,2735.0601,1
3,3,7,0.86171067,1.194,-2.3332601,1,253.32199,1
5,4,8,0.83275557,0.442,-2.2258501,2,333.388,1
13,11,32,0.85736024,-0.88599998,-7.60917,7,1101.277,1
8,8,18,0.85356396,-0.23,-3.8713,4,611.70001,1
5,4,8,0.84241122,-0.02,-1.89864,2,319.36099,1
7,3,11,0.81383491,2.0880001,-3.62483,4,446.51099,1
9,7,19,0.89437217,1.82376,-4.5257802,3,642.672,1
9,7,20,0.90011358,1.14476,-4.6118898,3,657.68701,1
5,3,12,0.81615162,1.7359999,-4.1564798,3,437.496,1
5,3,11,0.80637032,2.415,-4.0703702,3,422.48099,1
9,7,19,0.8877728,2.1937599,-4.72755,3,656.69897,1
4,5,7,0.81950766,1.638,-2.3003299,2,303.362,1
7,5,16,0.81167448,4.4120002,-5.6043,2,475.586,1
6,3,11,0.8387962,1.326,-2.7850101,2,405.45099,1
5,3,3,0.93437588,-1.748,0.057089999,1,215.209,1
5,3,5,0.85820597,0.039999999,-1.7108099,2,291.30701,1
7,6,9,0.87921435,0.52399999,-2.1514599,2,363.37,1
7,5,10,0.84551054,1.946,-3.34165,2,405.45099,1
7,5,9,0.86332315,0.72100002,-2.04547,2,377.397,1
7,5,11,0.83020777,2.5090001,-3.81337,3,453.495,1
7,5,15,0.81747991,3.7980001,-5.4025302,2,461.55899,1
6,3,15,0.82418442,2.615,-4.3741698,1,413.51498,1
6,3,13,0.81267625,3.1140001,-4.5529099,3,481.54898,1
7,5,11,0.83766681,2.388,-3.8568699,2,419.478,1
7,5,12,0.83766681,2.118,-3.0896699,2,419.478,1
6,3,17,0.8011179,4.4029999,-6.1420698,2,489.61298,1
7,5,12,0.82387179,3.1229999,-4.0151401,3,467.522,1
7,5,11,0.83020777,2.5090001,-3.81337,3,453.495,1
7,5,10,0.83701807,2.0669999,-3.6115999,3,439.46799,1
7,5,13,0.8468231,2.01,-3.63463,1,385.461,1
7,5,13,0.8468231,2.01,-3.63463,1,385.461,1
